Ranking,University,Location,Year
441-450,University of Trento,"Trento, Italy",2017
441-450,American University of Sharjah,"Sharjah, United Arab Emirates",2017
441-450,Auckland University of Technology (AUT),"Auckland, New Zealand",2017
441-450,Chang Gung University,"Taoyuan City, Taiwan",2017
441-450,Dongguk University,"Seoul, South Korea",2017
441-450,Sabanci University,"Istanbul, Turkey",2017
441-450,Swinburne University of Technology,"Melbourne, Australia",2017
441-450,Universidad de Palermo (UP),"Buenos Aires, Argentina",2017
441-450,"University of Maryland, Baltimore County","Baltimore, United States",2017
451-460,University of Florence,"Florence, Italy",2017
451-460,University of Coimbra,"Coimbra, Portugal",2017
451-460,Shanghai University,"Shanghai, China (Mainland)",2017
451-460,Pusan National University,"Busan, South Korea",2017
451-460,York University,"Toronto, Canada",2017
451-460,Ruhr-Universität Bochum,"Bochum, Germany",2017
451-460,Xiamen University,"Xiamen, China (Mainland)",2017
451-460,Koç University,"Istanbul, Turkey",2017
451-460,Oregon State University,"Corvallis, United States",2017
451-460,Sultan Qaboos University,"Muscat, Oman",2017
461-470,Universidade Federal do Rio Grande Do Sul,"Porto Alegre, Brazil",2017
461-470,Université Paul Sabatier Toulouse III,"Toulouse, France",2017
461-470,Karl-Franzens-Universitaet Graz,"Graz, Austria",2017
461-470,Arabian Gulf University,"Manama, Bahrain",2017
461-470,Bond University,"Gold Coast, Australia",2017
461-470,Concordia University,"Montreal, Canada",2017
461-470,University of New Mexico,"Albuquerque, United States",2017
461-470,University of Oklahoma,"Norman, United States",2017
461-470,"The University of Tennessee, Knoxville","Knoxville, United States",2017
