Ranking,University,Location,Year
801-1000,Université de Poitiers,"Poitiers, France",2020
801-1000,Université de Rennes 1,"Rennes, France",2020
801-1000,Université Lumière Lyon 2,"Lyon, France",2020
801-1000,Paul Valéry University Montpellier,"Montpellier, France",2020
801-1000,Université Toulouse 1 Capitole,"Toulouse, France",2020
801-1000,Universiti Malaysia Sarawak (UNIMAS),"Kuching, Malaysia",2020
801-1000,Universiti Tenaga Nasional (UNITEN),"Kajang, Malaysia",2020
801-1000,Universiti Tunku Abdul Rahman (UTAR),"Sungai Long, Malaysia",2020
801-1000,University of Arkansas Fayetteville,"Fayetteville, United States",2020
801-1000,University of Bahrain,"Zallaq, Bahrain",2020
801-1000,University of Bari,"Bari, Italy",2020
801-1000,University of Belgrade,"Belgrade, Serbia",2020
801-1000,University of Brighton,United Kingdom,2020
801-1000,University of Bucharest,"Bucharest, Romania",2020
801-1000,University of Calcutta,"Kolkata, India",2020
801-1000,University of Central Lancashire,"Preston, United Kingdom",2020
801-1000,University of Dhaka,"Dhaka, Bangladesh",2020
801-1000,University of Engineering & Technology (UET) Lahore,"Lahore, Pakistan",2020
801-1000,UNIVERSITY OF GDANSK,"Gdańsk, Poland",2020
801-1000,University of Kufa,"Kufa, Iraq",2020
801-1000,University of Kwazulu-Natal,"Pinetown, South Africa",2020
801-1000,University of Latvia,"Riga, Latvia",2020
801-1000,University of Lincoln,"Lincoln, United Kingdom",2020
801-1000,University of Lodz,"Lodz, Poland",2020
801-1000,Universiti Malaysia Sabah (UMS),"Kota Kinabalu, Malaysia",2020
801-1000,University of Mississippi,"Oxford, United States",2020
801-1000,University of Montana Missoula,"Missoula , United States",2020
801-1000,University of Mumbai,"Mumbai, India",2020
801-1000,University of New England Australia,"Armidale, Australia",2020
801-1000,University of New Hampshire,"Durham, United States",2020
801-1000,University of Ostrava,"Ostrava, Czech Republic",2020
801-1000,University of Parma,"Parma, Italy",2020
801-1000,University of Peradeniya,"Peradeniya, Sri Lanka",2020
801-1000,University of Salford,"Salford, United Kingdom",2020
801-1000,University of San Diego,"San Diego, United States",2020
801-1000,University of San Francisco,"San Francisco, United States",2020
801-1000,University of Santo Tomas,"Manila, Philippines",2020
801-1000,University of Silesia in Katowice,"Katowice, Poland",2020
801-1000,University of the Pacific,"Stockton, United States",2020
801-1000,University of the Punjab,"Lahore, Pakistan",2020
801-1000,University of the Western Cape,"Cape Town, South Africa",2020
801-1000,University of Wroclaw,"Wroclaw, Poland",2020
801-1000,Université de Toulouse II-Le Mirail,"Toulouse, France",2020
801-1000,Utah State University,"Logan, United States",2020
801-1000,Vellore Institute of Technology (VIT),"Vellore, India",2020
801-1000,Verona University,"Verona, Italy",2020
801-1000,"Vietnam National University, Hanoi","Hanoi, Vietnam",2020
801-1000,Voronezh State University,"Voronezh , Russia",2020
801-1000,Vytautas Magnus University,"Kaunas, Lithuania",2020
801-1000,Warsaw University of Life Sciences – SGGW (WULS-SGGW),"Warsaw, Poland",2020
801-1000,Wroclaw University of Science and Technology (WRUST),"Wroclaw , Poland",2020
801-1000,Wuhan University of Technology,"Wuhan, China (Mainland)",2020
801-1000,Xi'an Jiaotong Liverpool University,"Suzhou, China (Mainland)",2020
801-1000,Yeungnam University,"Gyeongsan, South Korea",2020
1001+,Al Imam Mohammad Ibn Saud Islamic University,"Riyadh, Saudi Arabia",2020
1001+,Alexandru Ioan Cuza University,"Iași, Romania",2020
1001+,Amity University,"Noida, India",2020
1001+,Azerbaijan State University of Economics,"Baku, Azerbaijan",2020
1001+,Baylor College of Medicine,"Houston, United States",2020
1001+,Benemérita Universidad Autónoma de Puebla,"Puebla, Mexico",2020
1001+,BI Norwegian Business School,"Oslo, Norway",2020
1001+,Central European University,"Vienna, Austria",2020
1001+,Charles Sturt University,"Thurgoona, Australia",2020
1001+,Copenhagen Business School,"Frederiksberg, Denmark",2020
1001+,Cranfield University,"Bedford, United Kingdom",2020
1001+,Doshisha University,"Kyoto, Japan",2020
1001+,ESCP Business School - Paris,"Paris, France",2020
1001+,ESSEC Business School,"Cergy, France",2020
1001+,Feng Chia University,"Taichung City, Taiwan",2020
1001+,Fu Jen Catholic University,"New Taipei City, Taiwan",2020
1001+,German University in Cairo,"Cairo, Egypt",2020
1001+,Institut polytechnique de Grenoble - Grenoble Institute of Technology,"Grenoble, France",2020
1001+,Harper Adams University,"Newport, United Kingdom",2020
1001+,HEC Paris School of Management,"Paris, France",2020
1001+,"Indian Institute of Information Technology, Allahabad","Prayagraj, India",2020
1001+,INSEAD,"Fontainebleau, France",2020
1001+,Jamia Hamdard,"New Delhi, India",2020
1001+,Jawaharlal Nehru University,"New Delhi, India",2020
1001+,Karolinska Institutet,"Stockholm, Sweden",2020
1001+,King Abdullah University of Science & Technology (KAUST),"Thuwal, Saudi Arabia",2020
1001+,King Mongkut's Institute of Technology Ladkrabang,"Bangkok, Thailand",2020
1001+,Leeds Beckett University,"Leeds, United Kingdom",2020
1001+,London Business School,"London, United Kingdom",2020
1001+,Makerere University,"Kampala, Uganda",2020
1001+,Meiji University,"Tokyo, Japan",2020
1001+,National Taipei University,Taiwan,2020
1001+,National University of Kyiv-Mohyla Academy (NaUKMA),Ukraine,2020
1001+,North-West University,"Potchefstroom, South Africa",2020
1001+,Northern Arizona University,"Flagstaff, United States",2020
1001+,Princess Nourah bint Abdulrahman University,Saudi Arabia,2020
1001+,Stockholm School of Economics,Sweden,2020
1001+,VSB - Technical University of Ostrava,"Ostrava, Czech Republic",2020
1001+,Ton Duc Thang University,"Ho Chi Minh City, Vietnam",2020
1001+,Universidad Andrés Bello,"Santiago, Chile",2020
1001+,Universidad de La Frontera (UFRO),"Temuco, Chile",2020
1001+,Universidad de Valparaíso (UV),"Valparaíso, Chile",2020
1001+,Universidad Industrial de Santander - UIS,"Bucaramanga, Colombia",2020
1001+,Universidad Metropolitana,"Caracas, Venezuela",2020
1001+,Universidad Nacional de Cuyo,"Mendoza, Argentina",2020
1001+,Universidad Nacional de San Martín (UNSAM),"Buenos Aires, Argentina",2020
1001+,Universidad Peruana de Ciencias Aplicadas,"Lima, Peru",2020
1001+,Universidad Rey Juan Carlos,"Madrid, Spain",2020
1001+,Universidade Federal do Ceará (UFC),"Fortaleza, Brazil",2020
1001+,Bocconi University,"Milan, Italy",2020
1001+,Université de Cergy-Pontoise,"Cergy, France",2020
1001+,Université de Technologie de Compiègne (UTC),"Compiègne, France",2020
1001+,Université Jean Moulin Lyon 3,"Lyon, France",2020
1001+,Université Paris-Nanterre,"Paris, France",2020
1001+,Universiti Malaysia Terengganu (UMT),"Kuala Terengganu, Malaysia",2020
1001+,Universitas Brawijaya,"Malang , Indonesia",2020
1001+,"University of California, San Francisco","San Francisco, United States",2020
1001+,University of Colombo,"Horana, Sri Lanka",2020
1001+,Prague University of Economics and Business,"Prague, Czech Republic",2020
1001+,University of Karachi,"Karachi, Pakistan",2020
1001+,The University of Lahore,"Lahore, Pakistan",2020
1001+,University of Nairobi,"Nairobi, Kenya",2020
1001+,University of the Sunshine Coast,"Sunshine Coast, Australia",2020
1001+,University POLITEHNICA of Bucharest,"Bucharest, Romania",2020
1001+,Weizmann Institute of Science,"Rehovot, Israel",2020
1001+,Universitatea de Vest din Timisoara /  West University of Timisoara,"Timișoara, Romania",2020
1001+,WHU - Otto Beisheim School of Management,"Vallendar, Germany",2020
N/A,Université Sorbonne Nouvelle Paris 3,"Paris, France",2020
1,Massachusetts Institute of Technology (MIT),"Cambridge, United States",2021
2,Stanford University,"Stanford, United States",2021
3,Harvard University,"Cambridge, United States",2021
4,California Institute of Technology (Caltech),"Pasadena, United States",2021
5,University of Oxford,"Oxford, United Kingdom",2021
6,ETH Zurich - Swiss Federal Institute of Technology,"Zürich, Switzerland",2021
7,University of Cambridge,"Cambridge, United Kingdom",2021
8,Imperial College London,"London, United Kingdom",2021
9,University of Chicago,"Chicago, United States",2021
10,UCL,"London, United Kingdom",2021
11,National University of Singapore (NUS),"Singapore, Singapore",2021
12,Princeton University,"Princeton, United States",2021
13,"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore",2021
14,EPFL,"Lausanne, Switzerland",2021
15,Tsinghua University,"Beijing, China",2021
16,University of Pennsylvania,"Philadelphia, United States",2021
17,Yale University,"New Haven, United States",2021
18,Cornell University,"Ithaca, United States",2021
19,Columbia University,"New York City, United States",2021
20,The University of Edinburgh,"Edinburgh, United Kingdom",2021
21,University of Michigan-Ann Arbor,"Ann Arbor, United States",2021
22,The University of Hong Kong,"Hong Kong, Hong Kong SAR China",2021
23,Peking University,"Beijing, China",2021
24,The University of Tokyo,"Tokyo, Japan",2021
25,Johns Hopkins University,"Baltimore, United States",2021
25,University of Toronto,"Toronto, Canada",2021
27,The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR China",2021
27,The University of Manchester,"Manchester, United Kingdom",2021
29,Northwestern University,"Evanston, United States",2021
30,"University of California, Berkeley (UCB)","Berkeley, United States",2021
31,The Australian National University,"Canberra, Australia",2021
31,King's College London,"London, United Kingdom",2021
31,McGill University,"Montreal, Canada",2021
34,Fudan University,"Shanghai, China",2021
35,New York University (NYU),"New York City, United States",2021
36,"University of California, Los Angeles (UCLA)","Los Angeles, United States",2021
37,Seoul National University,"Seoul, South Korea",2021
38,Kyoto University,"Kyoto, Japan",2021
39,KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea",2021
40,The University of Sydney,"Sydney, Australia",2021
41,The University of Melbourne,"Parkville, Australia",2021
42,Duke University,"Durham, United States",2021
43,The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR China",2021
44,The University of New South Wales (UNSW Sydney),"Sydney, Australia",2021
45,University of British Columbia,"Vancouver, Canada",2021
46,The University of Queensland,"Brisbane City, Australia",2021
47,Shanghai Jiao Tong University,"Shanghai, China",2021
48,City University of Hong Kong,"Hong Kong, Hong Kong SAR China",2021
49,The London School of Economics and Political Science (LSE),"London, United Kingdom",2021
50,Technical University of Munich,"Munich, Germany",2021
51,Carnegie Mellon University,"Pittsburgh, United States",2021
52,Université PSL,France,2021
53,Zhejiang University,"Hangzhou, China",2021
54,"University of California, San Diego (UCSD)","San Diego, United States",2021
55,Monash University,"Melbourne, Australia",2021
56,Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan",2021
57,Delft University of Technology,"Delft, Netherlands",2021
58,University of Bristol,,2021
59,Universiti Malaya (UM),"Kuala Lumpur, Malaysia",2021
60,Brown University,"Providence, United States",2021
61,University of Amsterdam,"Amsterdam, Netherlands",2021
61,Ecole Polytechnique,"Palaiseau, France",2021
62,The University of Warwick,"Coventry, United Kingdom",2021
63,Ludwig-Maximilians-Universität München,"Munich, Germany",2021
64,Ruprecht-Karls-Universität Heidelberg,"Heidelberg, Germany",2021
65,University of Wisconsin-Madison,"Madison, United States",2021
66,National Taiwan University (NTU),"Taipei City, Taiwan",2021
66,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina",2021
69,Korea University,"Seoul, South Korea",2021
69,University of Zurich,"Zürich, Switzerland",2021
71,University of Texas at Austin,"Austin, United States",2021
72,Osaka University,"Osaka City, Japan",2021
72,University of Washington,"Seattle, United States",2021
74,Lomonosov Moscow State University,"Moscow, Russia",2021
75,The Hong Kong Polytechnic University,"Hong Kong, Hong Kong SAR China",2021
76,University of Copenhagen,"Copenhagen, Denmark",2021
77,Pohang University of Science And Technology (POSTECH),"Pohang , South Korea",2021
77,University of Glasgow,"Glasgow, United Kingdom",2021
79,Tohoku University,"Sendai City, Japan",2021
80,Georgia Institute of Technology,"Atlanta, United States",2021
81,The University of Auckland,"Auckland, New Zealand",2021
82,University of Illinois at Urbana-Champaign,"Champaign, United States",2021
83,Sorbonne University,France,2021
84,KU Leuven,"Leuven, Belgium",2021
85,Yonsei University,"Seoul, South Korea",2021
86,Durham University,"Durham, United Kingdom",2021
87,University of Birmingham,"Birmingham, United Kingdom",2021
88,Sungkyunkwan University (SKKU),"Suwon, South Korea",2021
89,Rice University,"Houston, United States",2021
90,University of Southampton,"Southampton, United Kingdom",2021
91,University of Leeds,"Leeds, United Kingdom",2021
92,The University of Western Australia,"Perth, Australia",2021
93,The University of Sheffield,"Sheffield, United Kingdom",2021
93,University of Science and Technology of China,"Hefei, China",2021
95,"University of North Carolina, Chapel Hill","Chapel Hill, United States",2021
96,University of St Andrews,"St. Andrews, United Kingdom",2021
97,Lund University,"Lund, Sweden",2021
98,KTH Royal Institute of Technology,"Stockholm, Sweden",2021
99,University of Nottingham,"Nottingham, United Kingdom",2021
100,Universidad Nacional Autónoma de México  (UNAM),"Mexico City, Mexico",2021
101,Pennsylvania State University,"University Park, United States",2021
101,"Trinity College Dublin, The University of Dublin","Dublin, Ireland",2021
103,Technical University of Denmark,"Kongens Lyngby, Denmark",2021
104,University of Helsinki,"Helsinki, Finland",2021
105,Washington University in St. Louis,"St. Louis, United States",2021
106,The University of Adelaide,"Adelaide, Australia",2021
106,University of Geneva,"Geneva, Switzerland",2021
108,The Ohio State University,"Columbus, United States",2021
109,Purdue University,"West Lafayette, United States",2021
110,Boston University,"Boston, United States",2021
110,Nagoya University,"Nagoya, Japan",2021
112,"University of California, Davis","Davis, United States",2021
113,University of Oslo,"Oslo, Norway",2021
114,University of Bern,"Bern, Switzerland",2021
114,Queen Mary University of London,"London, United Kingdom",2021
115,Universidade de São Paulo,"São Paulo, Brazil",2021
115,Wageningen University & Research,"Wageningen, Netherlands",2021
117,Humboldt-Universität zu Berlin,"Berlin, Germany",2021
118,Université de Montréal,"Montreal, Canada",2021
119,University of Alberta,"Edmonton, Canada",2021
120,Eindhoven University of Technology,"Eindhoven, Netherlands",2021
121,Pontificia Universidad Católica de Chile (UC),"Santiago, Chile",2021
121,University of Southern California,"Los Angeles, United States",2021
121,Utrecht University,"Utrecht, Netherlands",2021
124,Kyushu University,"Fukuoka City, Japan",2021
124,Nanjing University,"Nanjing, China",2021
124,Uppsala University,"Uppsala, Sweden",2021
127,Aalto University,"Espoo, Finland",2021
128,Leiden University,"Leiden, Netherlands",2021
128,University of Groningen,"Groningen, Netherlands",2021
130,Freie Universitaet Berlin,"Berlin, Germany",2021
131,"KIT, Karlsruhe Institute of Technology","Karlsruhe, Germany",2021
132,Universiti Putra Malaysia (UPM),"Seri Kembangan, Malaysia",2021
133,University of Technology Sydney,"Haymarket, Australia",2021
135,Lancaster University,"Lancaster, United Kingdom",2021
135,Ghent University,"Ghent, Belgium",2021
137,Politecnico di Milano,"Milan, Italy",2021
138,CentraleSupélec,"Saint-Aubin, France",2021
139,Chalmers University of Technology,"Gothenburg, Sweden",2021
139,Hokkaido University,"Sapporo, Japan",2021
141,Universiti Kebangsaan Malaysia (UKM),"Bangi, Malaysia",2021
142,Universiti Sains Malaysia (USM),"Gelugor, Malaysia",2021
143,King Abdulaziz University (KAU),"Jeddah, Saudi Arabia",2021
144,McMaster University,"Hamilton, Canada",2021
145,RWTH Aachen University,"Aachen, Germany",2021
146,Hanyang University,"Seoul, South Korea",2021
147,Aarhus University,"Aarhus, Denmark",2021
148,Technische Universität Berlin (TU Berlin),"Berlin, Germany",2021
149,University of Basel,"Basel, Switzerland",2021
150,University of Vienna,"Vienna, Austria",2021
150,University of York,"York, United Kingdom",2021
152,Newcastle University,"Newcastle upon Tyne, United Kingdom",2021
152,"University of California, Santa Barbara (UCSB)","Santa Barbara, United States",2021
152,"University of Maryland, College Park","College Park, United States",2021
155,Tecnológico de Monterrey,"Monterrey, Mexico",2021
156,University of Pittsburgh,"Pittsburgh, United States",2021
157,Michigan State University,"East Lansing, United States",2021
158,Emory University,"Atlanta, United States",2021
159,Cardiff University,"Cardiff, United Kingdom",2021
160,Alma Mater Studiorum - University of Bologna,"Bologna, Italy",2021
161,École Normale Supérieure de Lyon,"Lyon, France",2021
162,Case Western Reserve University,"Cleveland, United States",2021
162,University of Florida,"Gainesville, United States",2021
164,The University of Exeter,"Exeter, United Kingdom",2021
165,Al-Farabi Kazakh National University,"Almaty, Kazakhstan",2021
165,University of Rochester,"Rochester, United States",2021
166,University of Waterloo,"Waterloo, Canada",2021
168,National Tsing Hua University,"Hsinchu City, Taiwan",2021
169,Texas A&M University,"College Station, United States",2021
169,University of Lausanne,"Lausanne, Switzerland",2021
171,Sapienza University of Rome,"Rome, Italy",2021
172,Indian Institute of Technology Bombay (IITB),"Mumbai, India",2021
173,Technische Universität Dresden,"Dresden, Germany",2021
173,University of Bath,"Bath, United Kingdom",2021
175,Eberhard Karls Universität Tübingen,"Tübingen, Germany",2021
175,Albert-Ludwigs-Universitaet Freiburg,"Freiburg im Breisgau, Germany",2021
177,The Hebrew University of Jerusalem,"Jerusalem, Israel",2021
177,University College Dublin,"Dublin, Ireland",2021
177,University of Minnesota Twin Cities,"Minneapolis, United States",2021
180,Universidad de Chile,"Santiago, Chile",2021
181,Stockholm University,"Stockholm, Sweden",2021
181,University of Liverpool,"Liverpool, United Kingdom",2021
183,Universitat de Barcelona,"Barcelona, Spain",2021
184,University of Otago,"Dunedin, New Zealand",2021
185,Indian Institute of Science,"Bangalore, India",2021
186,King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia",2021
187,Universiti Teknologi Malaysia,"Skudai, Malaysia",2021
187,Vanderbilt University,"Nashville, United States",2021
189,Université catholique de Louvain (UCLouvain),"Louvain-la-Neuve, Belgium",2021
189,Waseda University,"Tokyo, Japan",2021
191,Keio University,"Tokyo, Japan",2021
191,Technische Universität Wien,"Vienna, Austria",2021
193,Indian Institute of Technology Delhi (IITD),"New Delhi, India",2021
194,University of Bergen,"Bergen, Norway",2021
195,University of Göttingen,"Göttingen, Germany",2021
196,University of Wollongong,"Wollongong, Australia",2021
197,Erasmus University Rotterdam,"Rotterdam, Netherlands",2021
197,"The University of Newcastle, Australia (UON)","Callaghan, Australia",2021
197,University of Twente,"Enschede, Netherlands",2021
200,Universidad Autónoma de Madrid,"Madrid, Spain",2021
200,Vrije Universiteit Brussel (VUB),"Brussels, Belgium",2021
202,University of Gothenburg,"Gothenburg, Sweden",2021
203,Dartmouth College,"Hanover, United States",2021
203,Western University,"London, Canada",2021
205,University of Reading,"Reading, United Kingdom",2021
206,Complutense University of Madrid,"Madrid, Spain",2021
207,University of Aberdeen,"Aberdeen, United Kingdom",2021
208,Chulalongkorn University,"Bangkok, Thailand",2021
209,Queen's University Belfast,,2021
210,"University of California, Irvine","Irvine, United States",2021
211,Khalifa University,"Abu Dhabi, United Arab Emirates",2021
211,University of Notre Dame,"Notre Dame, United States",2021
213,Universitat Autònoma de Barcelona,"Barcelona, Spain",2021
214,Macquarie University,"Sydney, Australia",2021
214,Radboud University,"Nijmegen, Netherlands",2021
216,Università di Padova,"Padova, Italy",2021
217,Curtin University,"Perth, Australia",2021
217,Queensland University of Technology (QUT),"Brisbane, Australia",2021
217,University of Virginia,"Charlottesville, United States",2021
220,American University of Beirut (AUB),"Beirut , Lebanon",2021
220,Arizona State University,"Phoenix, United States",2021
220,University of Cape Town,"Cape Town, South Africa",2021
223,RMIT University,"Melbourne, Australia",2021
223,Victoria University of Wellington,"Kelburn, Wellington, New Zealand",2021
225,Saint Petersburg State University,"Saint Petersburg, Russia",2021
226,Loughborough University,"Loughborough, United Kingdom",2021
227,Universidad de los Andes,"Bogotá, Colombia",2021
228,Novosibirsk State University,"Novosibirsk , Russia",2021
228,Universität Hamburg,"Hamburg, Germany",2021
230,Georgetown University,"Washington D.C., United States",2021
230,Tel Aviv University,"Tel Aviv, Israel",2021
230,University of Colorado Boulder,"Boulder, United States",2021
233,Universidade Estadual de Campinas (Unicamp),"Campinas, Brazil",2021
234,Maastricht University,"Maastricht, Netherlands",2021
234,National Cheng Kung University (NCKU),"Tainan City, Taiwan",2021
236,Kyung Hee University,South Korea,2021
236,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",2021
238,National University of Ireland Galway,"Galway, Ireland",2021
238,University of Antwerp,"Antwerp, Belgium",2021
240,National Chiao Tung University,"Hsinchu City, Taiwan",2021
240,Rheinische Friedrich-Wilhelms-Universität Bonn,"Bonn, Germany",2021
242,Ecole des Ponts ParisTech,"Paris, France",2021
242,Sciences Po,"Paris, France",2021
242,University of Leicester,"Leicester, United Kingdom",2021
245,Qatar University,"Doha, Qatar",2021
246,Queen's University at Kingston,"Kingston, Canada",2021
246,University of Calgary,"Calgary, Canada",2021
246,University of Sussex,"Brighton, United Kingdom",2021
246,Wuhan University,"Wuhan, China",2021
250,Tomsk State University,"Tomsk, Russia",2021
250,Universite libre de Bruxelles,"Brussels, Belgium",2021
252,Mahidol University,"Nakhon Pathom, Thailand",2021
252,University of Navarra,"Pamplona, Spain",2021
254,Gadjah Mada University,"Yogyakarta, Indonesia",2021
254,Universiti Brunei Darussalam (UBD),"Bandar Seri Begawan, Brunei",2021
256,Tongji University,"Shanghai, China",2021
256,University of Illinois at Chicago (UIC),"Chicago, United States",2021
258,Rutgers University–New Brunswick,"New Brunswick, United States",2021
259,Universidad Nacional de Colombia,"Bogotá, Colombia",2021
260,Charles University,"Prague, Czechia",2021
260,Harbin Institute of Technology,"Harbin, China",2021
260,Tufts University,"Medford, United States",2021
263,Sun Yat-sen University,"Guangzhou, China",2021
264,Hong Kong Baptist University,"Hong Kong, Hong Kong SAR China",2021
265,Universität Innsbruck,"Innsbruck, Austria",2021
265,University of Tsukuba,"Tsukuba City, Japan",2021
267,National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan",2021
267,Technical University of Darmstadt,"Darmstadt, Germany",2021
267,University of Surrey,"Guildford, United Kingdom",2021
270,University of Canterbury | Te Whare Wānanga o Waitaha,"Christchurch, New Zealand",2021
270,University of Massachusetts Amherst,"Amherst, United States",2021
272,Massey University,"Palmerston North, New Zealand",2021
273,USI - Università della Svizzera italiana,"Lugano, Switzerland",2021
273,The University of Arizona,"Tucson, United States",2021
275,Deakin University,"Burwood, Australia",2021
275,Indian Institute of Technology Madras (IITM),"Chennai, India",2021
275,Graz University of Technology,"Graz, Austria",2021
275,Université de Paris,"Paris, France",2021
279,Beijing Normal University,"Beijing, China",2021
279,University of Ottawa,"Ottawa, Canada",2021
281,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia",2021
282,Bauman Moscow State Technical University,"Moscow, Russia",2021
282,University of Cologne,"Cologne, Germany",2021
284,United Arab Emirates University,"Al Ain, United Arab Emirates",2021
285,University of Tartu,"Tartu, Estonia",2021
286,University College Cork,"Cork, Ireland",2021
287,King Saud University,"Riyadh, Saudi Arabia",2021
287,Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain",2021
287,Université Paris 1 Panthéon-Sorbonne,"Paris, France",2021
287,University of Turku,"Turku, Finland",2021
291,Dalhousie University,"Halifax, Canada",2021
291,ENS Paris-Saclay,"Cachan, France",2021
291,Technion - Israel Institute of Technology,"Haifa, Israel",2021
291,University of Miami,"Miami, United States",2021
295,Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea",2021
295,North Carolina State University,"Raleigh, United States",2021
295,University of South Australia,"Magill, Australia",2021
298,HSE University,"Moscow, Russia",2021
298,National Yang Ming University,"Taipei City, Taiwan",2021
300,University of Strathclyde,"Glasgow, United Kingdom",2021
301,Heriot-Watt University,"Edinburgh, United Kingdom",2021
301,University of Milan,"Milan, Italy",2021
303,Griffith University,"Nathan, Australia",2021
303,Xi’an Jiaotong University,"Xi'an, China",2021
305,Aalborg University,"Aalborg, Denmark",2021
305,Universitas Indonesia,"Depok, Indonesia",2021
305,Universit Paris-Saclay,"Gif-sur-Yvette,, France",2021
307,Universität Mannheim,"Mannheim, Germany",2021
308,Politecnico di Torino,"Turin, Italy",2021
308,Royal Holloway University of London,"Egham, United Kingdom",2021
308,University of Tasmania,"Hobart, Australia",2021
311,Universidad Carlos III de Madrid (UC3M),"Madrid, Spain",2021
311,Goethe-University Frankfurt am Main,"Frankfurt, Germany",2021
313,Bandung Institute of Technology (ITB),"Bandung, Indonesia",2021
314,Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India",2021
314,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia",2021
314,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),"Barcelona, Spain",2021
317,Belarusian State University,"Minsk, Belarus",2021
317,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Erlangen, Germany",2021
319,University of Dundee,"Dundee, United Kingdom",2021
320,Indiana University Bloomington,"Bloomington, United States",2021
321,Hiroshima University,"Higashihiroshima City, Japan",2021
321,University of Warsaw,"Warsaw, Poland",2021
323,Simon Fraser University,"Burnaby, Canada",2021
323,Southern University of Science and Technology,"Shenzhen, China",2021
323,Universität Jena,"Jena, Germany",2021
326,Jagiellonian University,"Krakow, Poland",2021
326,Pontificia Universidad Católica Argentina,"Buenos Aires, Argentina",2021
326,RUDN University,"Moscow, Russia",2021
326,Universitat Politècnica de València,"València, Spain",2021
326,Virginia Polytechnic Institute and State University,"Blacksburg, United States",2021
327,IE University,"Segovia, Spain",2021
331,National Taiwan Normal University,"Taipei City, Taiwan",2021
331,Ural Federal University - UrFU,"Ekaterinburg, Russia",2021
333,Ewha Womans University,"Seoul, South Korea",2021
333,Umea University,"Umeå, Sweden",2021
333,Universität Stuttgart,"Stuttgart, Germany",2021
333,University of East Anglia (UEA),"Norwich, United Kingdom",2021
333,University of Hawaiʻi at Mānoa,"Honolulu, United States",2021
333,University of Jyväskylä,"Jyväskylä, Finland",2021
333,University of Utah,"Salt Lake City, United States",2021
341,Yeshiva University,"New York City, United States",2021
342,Université Grenoble Alpes,"Grenoble, France",2021
342,"University of Chemistry and Technology, Prague","Prague, Czechia",2021
344,"Birkbeck, University of London","London, United Kingdom",2021
344,Ulm University,"Ulm, Germany",2021
346,SOAS University of London,"London, United Kingdom",2021
346,University at Buffalo SUNY,"Buffalo, United States",2021
348,American University of Sharjah,"Sharjah, United Arab Emirates",2021
348,MGIMO University,"Moscow, Russia",2021
350,"City, University of London","London, United Kingdom",2021
350,Indian Institute of Technology Kanpur (IITK),"Kanpur, India",2021
350,Universiti Teknologi Brunei,"Bandar Seri Begawan, Brunei",2021
353,George Washington University,"Ashburn, United States",2021
353,University of Southern Denmark (SDU),"Odense, Denmark",2021
355,National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan",2021
356,Westfälische Wilhelms-Universität Münster,"Münster, Germany",2021
357,L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan",2021
357,University of Lisbon,"Lisbon , Portugal",2021
357,University of Porto,"Porto, Portugal",2021
360,ITMO University,"St. Petersburg, Russia",2021
360,Norwegian University of Science And Technology,"Trondheim, Norway",2021
362,Johannes Kepler University Linz,"Linz, Austria",2021
362,Linköping University,"Linköping, Sweden",2021
362,Northeastern University,"Boston, United States",2021
362,Tokyo Medical and Dental University (TMDU),"Tokyo, Japan",2021
367,University of Macau,,2021
368,Brunel University London,,2021
368,Tilburg University,"Tilburg, Netherlands",2021
370,Kazan (Volga region) Federal University,"Kazan, Russia",2021
370,University of Victoria (UVic),"Victoria, Canada",2021
372,Swinburne University of Technology,"Melbourne, Australia",2021
373,Pakistan Institute of Engineering and Applied Sciences (PIEAS),"Islamabad, Pakistan",2021
373,"Stony Brook University, State University of New York","Stony Brook, United States",2021
375,Sultan Qaboos University,"Muscat, Oman",2021
375,University of Waikato,"Hamilton , New Zealand",2021
377,Nankai University,"Tianjin, China",2021
377,Universidad de Palermo (UP),"Buenos Aires, Argentina",2021
379,Taylor's University,"Subang Jaya, Malaysia",2021
380,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",2021
380,University of Kent,"Canterbury, United Kingdom",2021
380,Wake Forest University,"Winston-Salem, United States",2021
